,Table_name.column_name,Description
0,monthly_teacher_attendance.teacher_id,A code made up of 10 digit that is assigned to a teacher and this code is unique for every teacher.
1,monthly_teacher_attendance.school_code,A code made up of 10 or 11 digit that is assigned to a school and this code is unique for every school.
2,monthly_teacher_attendance.month_start_date,Start date of month a particular month for which teacher attendance is recorded.
3,monthly_teacher_attendance.month_end_date,End date of month a particular month for which teacher attendance is recorded.
4,monthly_teacher_attendance.month_present_count,Total count of 'present' entries of a particular teacher for the entire month
5,monthly_teacher_attendance.month_absent_count,Total count of 'absent' entries of a particular teacher for the entire month
6,monthly_teacher_attendance.month_half_leave_count,Total count of 'half leave' entries of a particular teacher for the entire month
7,monthly_teacher_attendance.month_full_leave_count,Total count of 'full leave' entries of a particular teacher for the entire month
8,monthly_teacher_attendance.month_holiday_count,Total count of 'holiday' entries of a particular teacher for the entire month
9,monthly_teacher_attendance.month_on_duty_count,Total count of 'on duty' entries of a particular teacher for the entire month
10,monthly_teacher_attendance.month_in_training_count,Total count of 'in training' entries of a particular teacher for the entire month
11,monthly_teacher_attendance.month_maternity_leave_count,Total count of 'maternity leave' entries of a particular teacher for the entire month
12,monthly_teacher_attendance.month_under_suspension_count,Total count of 'under suspension' entries of a particular teacher for the entire month
13,monthly_teacher_attendance.month_leave_without_pay_count,Total count of 'leave without pay' entries of a particular teacher for the entire month
14,monthly_teacher_attendance.month_days_recorded,Total number of days for which attendance (any status) is recorded for a particular teacher in the month
15,monthly_teacher_attendance.month_other_count,Total count of 'other' attendance statuses for the entire month
16,monthly_teacher_attendance.month_medical_leave_count,Total count of 'medical leave' entries of a particular teacher for the entire month
17,monthly_teacher_attendance.month_casual_leave_count,Total count of 'casual leave' entries of a particular teacher for the entire month
18,monthly_teacher_attendance.month_earned_leave_count,Total count of 'earned leave' entries of a particular teacher for the entire month
19,monthly_teacher_attendance.month_duty_leave_count,Total count of 'duty leave' entries of a particular teacher for the entire month
20,monthly_teacher_attendance.month_transferred_count,Total count of 'transferred' entries of a particular teacher for the entire month
21,monthly_teacher_attendance.month_restricted_holiday_count,Total count of 'restricted holiday' entries of a particular teacher for the entire month
22,monthly_teacher_attendance.month_study_leave_count,Total count of 'study leave' entries of a particular teacher for the entire month
23,monthly_teacher_attendance.month_first_half_leave_count,Total count of '1st half leave' entries of a particular teacher for the entire month
24,monthly_teacher_attendance.month_second_half_leave_count,Total count of '2nd half leave' entries of a particular teacher for the entire month
25,monthly_teacher_attendance.month_commutation_leave_count,Total count of 'commutation leave' entries of a particular teacher for the entire month
26,monthly_teacher_attendance.month_paternity_leave_count,Total count of 'paternity leave' entries of a particular teacher for the entire month
27,monthly_teacher_attendance.month_deputation_in_school_count,Total count of 'deputation in school' entries of a particular teacher for the entire month
28,monthly_teacher_attendance.month_deputation_in_office_count,Total count of 'deputation in office' entries of a particular teacher for the entire month
29,monthly_teacher_attendance.month_special_leave_count,Total count of 'special leave' entries of a particular teacher for the entire month
30,monthly_teacher_attendance.month_maternity_leave_miscarriage_count,Total count of 'maternity leave for miscarriage' entries of a particular teacher for the entire month
31,teacher_attendance.teacher_id,10 digit unique identification code for each teacher
32,teacher_attendance.school_code,10 or 11 digit unique identificaiton code for each school
33,teacher_attendance.attendance_status,"This column contains the attendance status of a teacher. Use numeric code from this mapping. → [1: Present, 2:Absent, 3:Half Leave, 4: Full Leave, 5:Holiday, 6:On Duty, 7: In Training, 8:Maternity Leave, 9:Under Suspension, 10: Leave Without Pay, 11: Other, 12:Medical Leave, 13:Casual Leave, 14:Earned Leave, 15:Duty Leave, 16:Transferred, 17:Restricted Holiday, 18:Study Leave, 19:1st Half Leave, 20:2nd Half Leave, 21:Commutation Leave, 22:Paternity Leave, 23:Deputation in School, 24:Deputation in Office, 25:Special Leave, 26:Maternity Leave for Miscarriage]"
34,teacher_attendance.log_date,date on which attendance of teachers recorded
