,Table_name.column_name,Description
0,sch_master.udise_sch_code,"Unique identifier code each school, associated with school_name in sch_master table. This can be joined with udise_sch_code in sch_facility tables. "
1,sch_master.school_name,Name of the school for the corresponding 'udise_sch_code'
2,sch_master.state_code,"Code of the state in India where the school is located, is associated with state name e.g '2'."
3,sch_master.state_name,"Name of the state where the school is located, is associated with state code e.g 'Himachal Pradesh'."
4,sch_master.district_code,"Code of the district where the school is located, is associated with district name e.g '202'."
5,sch_master.block_code,"Code of the block where the school is located, e.g '20221'.(5 digit code)"
6,sch_master.village_code,Code representing the village or ward where the school is located. e.g '202702089'.(9 digit code)
7,sch_master.cluster_code,Code representing the cluster where the school is located e.g '2427020022'.(10 digit code)
8,sch_master.sch_gender_type,"Indicate whether schools is only for boys or only for girls or for both gender i.e Co-ed. This can only be one of the following values ['Co-Educational/Co-Ed', 'Boys', 'Girls']"
9,sch_master.school_status,"Indicate whether school is active or inactive. While filtering only consider active schools, but When asked for total schools must consider active and inactive schools. 0(int) indicates active schools."
10,sch_master.class_from,"Indicates the lowest class/grade offered by the school. e.g if school is from class 1 to 12, then class_from is 1 and class_to is 12."
11,sch_master.class_to,Indicates the highest class/grade offered by the school. related to 'class_from'
12,sch_master.is_nsqf,"Indicates whether the school is National Skills Qualifications Framework (NSQF) compliant. Can only be ['Yes','No']"
13,sch_master.pre_primary_sec_yn,"Indicates whether the school has pre-primary section (other than Anganwadi) or not. Can only be ['Yes','No']"
14,sch_master.pre_primary_sec_num,Number of pre-primary sections available in the school. Related to 'pre_primary_sec_yn' 
15,sch_master.email,"Email address of the school, can be used as contact information"
16,sch_master.website,Website URL of the school
17,sch_master.estd_year,Year when the school was established or Built.
18,sch_master.sch_stdcode,Prefix telephone Standard code of the school
19,sch_master.sch_phone,Phone number of the school. Contact/Call number of school.
20,sch_master.head_master_type,"Type of the Head of school/ In charge. This can only be one of the following values ['Head Master/Principal', 'Asst. Head Master/Vice Principal', 'Acting Head Teacher', 'In-Charge from Other School', 'In-Charge from Block/District', 'Others','Not Defined', 'N/A']. "
21,sch_master.head_master_name,Name of the Head of school/ In charge
22,sch_master.affiliation_board_sec,"Board to which the school is affiliated for secondary education, which board curriculum secondary school is following. This can only be one of the following value.['CBSE', 'State Board', 'ICSE', 'International Board', 'Both CBSE and State Board', 'Madarsa Board', 'Sanskrit Board', 'N/A']"
23,sch_master.affiliation_no_sec,Unique Affiliation Code corresponding to affiliation board for secondary education. related to 'affiliation_board_sec
24,sch_master.affiliation_board_hsec,"Board to which the school is affiliated for higher secondary education, which board curriculum secondary school is following. This can only be one of the following value.['CBSE', 'State Board', 'ICSE', 'International Board', 'Both CBSE and State Board', 'Madarsa Board', 'Sanskrit Board', 'N/A']"
25,sch_master.affiliation_no_hsec,Unique Affiliation Code corresponding to affiliation board for higher secondary education. related to 'affiliation_board_hsec
26,sch_master.respondent_type,"Type of the respondent of school. Person who filled UDISE form for school. This can be only one of the following values. ['Head of the School/In-Charge', 'Teacher', 'School Administration Staff/Official/Clerk', 'In Charge from Block/District/Cluster', 'In Charge from Other School']"
27,sch_master.respondent_name,"Name of the respondent of school. Person who filled UDISE form for school, corresponding to 'udise_sch_code','respondent_type"
28,sch_master.upgrd_to_upr_year,Year of upgrading the school to upper primary ie upgrading from primary to upper primary
29,sch_master.upgrd_to_secondary_year,Year of upgrading the school to secondary i.e upgrading from upper primary to secondary
30,sch_master.upgrd_to_highersec_year,Year of upgrading the school to higher secondary i.e upgrading from secondary to higher secondary
31,sch_master.recog_year_pri,"Year, when for primary education was introduced in school"
32,sch_master.recog_year_upr,"Year, when for upper primary education was introduced in school"
33,sch_master.recog_year_sec,"Year, when for secondary education was introduced in school"
34,sch_master.recog_year_hsec,"Year, when for higher secondary education was introduced in school"
35,sch_master.medium_of_instr_1,"Medium of instruction 1 ((i.e 1st largest language medium), A langauage or medium in which students are taught, Can only be one of the following values ['Gujarati','Marathi','Hindi','Odia','Urdu','Sanskrit','English','Possible Mistake','Telugu']. i.e. Gujarati is for Gujarati medium school. i.e. English is for English medium school. Can also be used for Language immersion."
36,sch_master.medium_of_instr_2,"Medium of instruction 2 (i.e 2nd largest language medium), A langauage or medium in which students are taught, Can only be one of the following values ['Gujarati','Marathi','Hindi','Odia','Urdu','Sanskrit','English','Possible Mistake','Telugu']. i.e. Gujarati is for Gujarati medium school. i.e. English is for English medium school. Can also be used for Language immersion."
37,sch_master.medium_of_instr_3,"Medium of instruction 3 (i.e 3rd largest language medium), A langauage or medium in which students are taught, Can only be one of the following values ['Gujarati','Marathi','Hindi','Odia','Urdu','Sanskrit','English','Possible Mistake','Telugu']. i.e. Gujarati is for Gujarati medium school. i.e. English is for English medium school. Can also be used for Language immersion."
38,sch_master.medium_of_instr_4,"Medium of instruction 4 (i.e 4th largest language medium), A langauage or medium in which students are taught, Can only be one of the following values ['Gujarati','Marathi','Hindi','Odia','Urdu','Sanskrit','English','Possible Mistake','Telugu']. i.e. Gujarati is for Gujarati medium school. i.e. English is for English medium school. Can also be used for Language immersion."
39,sch_master.board_sec_oth,If Any other affiliation board for secondary level
40,sch_master.board_hsec_oth,If Any other affiliation board for higher secondary level
41,sch_master.medinstr_oth,If any other medium/language of instruction
42,sch_master.assembly_cons_cd,Assembly Constituency Code in while school is located
43,sch_master.parl_cons_cd,Parliamentary Constituency Code in while school is located
44,sch_master.respondent_mobile,"Mobile number of the respondent of the school, person who filled UDISE form for school, correspoding to 'udise_sch_code'"
45,sch_master.sch_loc_rural_urban,"Indicated whether school is located on urbal area or rural area. This can be only one of the following values. ['RURAL', 'URBAN', 'N/A']"
46,sch_master.strm_arts_yn,"Indicates whether arts stream is available in school. Can only be ['Yes','No']"
47,sch_master.strm_science_yn,"Indicates whether science stream is available in school. Can only be ['Yes','No']"
48,sch_master.strm_commerce_yn,"Indicates whether commerce stream is available in school. Can only be ['Yes','No']"
49,sch_master.strm_vocational_yn,"Indicates whether vocational stream is available in school. Can only be ['Yes','No']"
50,sch_master.strm_other_yn,"Indicates whether any other streams (apart from art, science, commerce and vocational) are available in school. Can only be ['Yes','No']"
51,sch_master.address,"Address of the school, corresponding to 'udise_sch_code', can be used as contact information"
52,sch_master.latitude,"Latitude coordinate of the school. 'latitude', 'longitude' tells about school geographical location"
53,sch_master.longitude,"Longitude coordinate of the school. 'latitude', 'longitude' tells about school geographical location."
